product url,product name,product price,rating,no of reviews
http://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_26_trfob_2_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=f14dcbe2-8009-4dbb-a8de-8205cdb52fae&pd_rd_w=utosm&pd_rd_wg=kpvam&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=F7Q0G72DR5HZTMPHGK19&qid=1679497513&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),435.,4.0 out of 5 stars,4 ratings
http://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_26_trfob_3_B09H3H3898?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=f14dcbe2-8009-4dbb-a8de-8205cdb52fae&pd_rd_w=utosm&pd_rd_wg=kpvam&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=F7Q0G72DR5HZTMPHGK19&qid=1679497513&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow),288.,4.0 out of 5 stars,69 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDIwODg2ODE0ODM5MTk2OjE2Nzk0OTc1NTM6c3BfYXRmX25leHQ6MjAxMjE0ODk2Mzg0OTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497553%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack,529.,5.0 out of 5 stars,2 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDIwODg2ODE0ODM5MTk2OjE2Nzk0OTc1NTM6c3BfYXRmX25leHQ6MjAwOTEwODkyNDY3OTg6OjA6Og&url=%2FHalf-Moon-Backpack-Luggage-Compartment%2Fdp%2FB09VCLZ3K4%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497553%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849.,3.9 out of 5 stars,"2,349 ratings"
http://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679497553&sprefix=ba%2Caps%2C283&sr=8-19,ADISA Light Weight Laptop Backpack 32 Ltrs,499.,4.0 out of 5 stars,"5,657 ratings"
http://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1679497553&sprefix=ba%2Caps%2C283&sr=8-25,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,032.",4.4 out of 5 stars,"16,474 ratings"
http://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1679497553&sprefix=ba%2Caps%2C283&sr=8-26,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799.,3.9 out of 5 stars,"2,442 ratings"
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDIwODg2ODE0ODM5MTk2OjE2Nzk0OTc1NTM6c3BfbXRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497553%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.9 out of 5 stars,18 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDIwODg2ODE0ODM5MTk2OjE2Nzk0OTc1NTM6c3BfbXRmOjIwMDMxMzA3NTc2MDk4OjowOjo&url=%2FHEROZ-Hammer-Durable-Travel-Laptop%2Fdp%2FB07MGDGZR3%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497553%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (Grey & Red),"1,349.",4.3 out of 5 stars,"7,738 ratings"
http://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1679497553&sprefix=ba%2Caps%2C283&sr=8-32,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929.,3.9 out of 5 stars,753 ratings
